scientificName,canonicalName,authorship,family,epithet,description
"Canis brevicephalus Qiu et al., 2004",Canis brevicephalus,"Qiu et al., 2004",Canidae,brevicephalus,a short-headed dog
"Canis cedazoensis Mooser & Dalquest, 1975",Canis cedazoensis,"Mooser & Dalquest, 1975",Canidae,cedazoensis,a dog from the Cedazo region
"Canis chihliensis Zdansky, 1924",Canis chihliensis,"Zdansky, 1924",Canidae,chihliensis,"a dog from Hebei, China"
"Canis cipio Crusafont-Pairó, 1950",Canis cipio,"Crusafont-Pairó, 1950",Canidae,cipio,a dog that resembles capturing
"Canis cyonoides Pei, 1934",Canis cyonoides,"Pei, 1934",Canidae,cyonoides,a dog that resembles resembling a dog
"Canis dingo Blumenbach, 1780",Canis dingo,"Blumenbach, 1780",Canidae,dingo,a dog that resembles resembling a dog
"Canis dingoides Matschie, 1915",Canis dingoides,"Matschie, 1915",Canidae,dingoides,a dog that resembles resembling a dingo
"Canis dirus Leidy, 1858",Canis dirus,"Leidy, 1858",Canidae,dirus,"a dog that resembles dreadful, terrible"
"Canis edwardii Gazin, 1942",Canis edwardii,"Gazin, 1942",Canidae,edwardii,a dog named after Edward
"Canis etruscus Major, 1877",Canis etruscus,"Major, 1877",Canidae,etruscus,a dog from Etruria
"Canis falconeri Forsyth-Major, 1877",Canis falconeri,"Forsyth-Major, 1877",Canidae,falconeri,a dog named after Hugh Falconer
"Canis feneus Tedford et al., 2009",Canis feneus,"Tedford et al., 2009",Canidae,feneus,a dog that resembles of the woods
"Canis ferox Miller & Carranza-Castaneda, 1998",Canis ferox,"Miller & Carranza-Castaneda, 1998",Canidae,ferox,a dog that resembles fierce or ferocious
"Canis geismarianus Cope, 1878",Canis geismarianus,"Cope, 1878",Canidae,geismarianus,a dog named after Geismar
"Canis gezi Kraglievich, 1928",Canis gezi,"Kraglievich, 1928",Canidae,gezi,a dog named after Gezi
"Canis hallstromi Troughton, 1957",Canis hallstromi,"Troughton, 1957",Canidae,hallstromi,a dog named after Hallstrom
"Canis hispanicus Zimmermann, 1780",Canis hispanicus,"Zimmermann, 1780",Canidae,hispanicus,a dog from Spain or the Iberian Peninsula
"Canis latrans Say, 1823",Canis latrans,"Say, 1823",Canidae,latrans,a dog that resembles barking
"Canis lepophagus Johnston, 1938",Canis lepophagus,"Johnston, 1938",Canidae,lepophagus,a dog that resembles rabbit-eating
"Canis longdanensis Qiu et al., 2004",Canis longdanensis,"Qiu et al., 2004",Canidae,longdanensis,a dog from Longdan
"Canis lupaster Hemprich & Ehrenberg, 1833",Canis lupaster,"Hemprich & Ehrenberg, 1833",Canidae,lupaster,a wolf-like dog
"Canis lupaster Viranta, Atickem, Werdelin & Stenseth, 2017",Canis lupaster,"Viranta, Atickem, Werdelin & Stenseth, 2017",Canidae,lupaster,a wolf-like dog
"Canis lupus Linnaeus, 1758",Canis lupus,"Linnaeus, 1758",Canidae,lupus,a wolf-like dog
"Canis lycaon Schreber, 1775",Canis lycaon,"Schreber, 1775",Canidae,lycaon,a wolf-like dog
"Canis lydekkeri Ameghino, 1889",Canis lydekkeri,"Ameghino, 1889",Canidae,lydekkeri,a dog named after Lydekker
"Canis macdonnellensis Matschie, 1915",Canis macdonnellensis,"Matschie, 1915",Canidae,macdonnellensis,a dog from the MacDonnell Ranges
"Canis melitaeus Zimmermann, 1780",Canis melitaeus,"Zimmermann, 1780",Canidae,melitaeus,a dog that resembles of Malta
"Canis melomelas Zimmermann, 1780",Canis melomelas,"Zimmermann, 1780",Canidae,melomelas,a dog that resembles black and white
"Canis mesomelas Schreber, 1775",Canis mesomelas,"Schreber, 1775",Canidae,mesomelas,a black-backed dog
"Canis montanus Marsh, 1871",Canis montanus,"Marsh, 1871",Canidae,montanus,a dog that resembles of or from mountains
"Canis morenis Lydekker, 1894",Canis morenis,"Lydekker, 1894",Canidae,morenis,a dog that resembles of the moraine
"Canis nehringi Ameghino, 1902",Canis nehringi,"Ameghino, 1902",Canidae,nehringi,a dog named after Nehring
"Canis niger Sclater, 1874",Canis niger,"Sclater, 1874",Canidae,niger,a dog that resembles black
"Canis occidentalis Richardson, 1829",Canis occidentalis,"Richardson, 1829",Canidae,occidentalis,a dog that resembles western or from the west
"Canis ochropus Eschscholtz, 1829",Canis ochropus,"Eschscholtz, 1829",Canidae,ochropus,a yellow-footed dog
"Canis orcensis Martinez-Navarro, Bartolini Lucenti, Palmqvist, Ros-Montoya, Madurell-Malapeira & Espigares, 2021",Canis orcensis,"Martinez-Navarro, Bartolini Lucenti, Palmqvist, Ros-Montoya, Madurell-Malapeira & Espigares, 2021",Canidae,orcensis,a dog from Orce
"Canis oriens Way & Lynn, 2016",Canis oriens,"Way & Lynn, 2016",Canidae,oriens,a dog that resembles eastern or from the east
"Canis osorum Cope, 1873",Canis osorum,"Cope, 1873",Canidae,osorum,a dog that resembles of the bones
"Canis palaeoplatensis Ameghino, 1891",Canis palaeoplatensis,"Ameghino, 1891",Canidae,palaeoplatensis,a dog from ancient La Plata
"Canis palmidens Teilhard & Piveteau, 1930",Canis palmidens,"Teilhard & Piveteau, 1930",Canidae,palmidens,a palm-toothed dog
"Canis primaevus Leidy, 1854",Canis primaevus,"Leidy, 1854",Canidae,primaevus,a dog that resembles primitive or ancient
"Canis primigenius Lankester, 1864",Canis primigenius,"Lankester, 1864",Canidae,primigenius,a dog that resembles first of its kind
"Canis proplatensis Ameghino, 1902",Canis proplatensis,"Ameghino, 1902",Canidae,proplatensis,a dog from the La Plata region
"Canis simensis Rüppell, 1840",Canis simensis,"Rüppell, 1840",Canidae,simensis,a dog from the Simien mountains
"Canis spec Linnaeus, 1758",Canis spec,"Linnæus, 1758",Canidae,spec,a dog that resembles of a particular species
"Canis teilhardi Qiu et al., 2004",Canis teilhardi,"Qiu et al., 2004",Canidae,teilhardi,a dog named after Teilhard
"Canis thooides Tedford et al., 2009",Canis thooides,"Tedford et al., 2009",Canidae,thooides,a dog that resembles resembling the genus Thoa
"Canis troglodytes Lund, 1938",Canis troglodytes,"Lund, 1938",Canidae,troglodytes,a dog that resembles cave-dwelling
"Canis variabilis Pei, 1934",Canis variabilis,"Pei, 1934",Canidae,variabilis,"a dog that resembles variable, changeable"
"Vulpes latidentatus (Cope, 1899)",Vulpes latidentatus,"(Cope, 1899) ",Canidae,latidentatus,a broad-toothed dog
"Aelurodon compressus (Cope, 1890)",Aelurodon compressus,"(Cope, 1890) ",Canidae,compressus,a compressed or flattened dog
"Carpocyon limosus Webb, 1969",Carpocyon limosus,"Webb, 1969",Canidae,limosus,a dog that resembles mud-dwelling
"Carpocyon webbi Wang et al., 1999",Carpocyon webbi,"Wang et al., 1999",Canidae,webbi,a dog named after Webb
"Tomarctus robustus (Green, 1948)",Tomarctus robustus,"(Green, 1948) ",Canidae,robustus,a dog that resembles strong or robust
"Cerdocyon texanus Tedford et al., 2009",Cerdocyon texanus,"Tedford et al., 2009",Canidae,texanus,a dog from Texas
"Cerdocyon thous (Linnaeus, 1766)",Cerdocyon thous,"(Linnaeus, 1766) ",Canidae,thous,a jackal-like dog
Thous azarae,Thous azarae,,Canidae,azarae,a dog named after Azara
Thous cancrivorus,Thous cancrivorus,,Canidae,cancrivorus,a dog that resembles crab-eating
"Chrysocyon brachyurus (Illiger, 1815)",Chrysocyon brachyurus,"(Illiger, 1815) ",Canidae,brachyurus,a short-tailed dog
"Chrysocyon nearcticus Tedford et al., 2009",Chrysocyon nearcticus,"Tedford et al., 2009",Canidae,nearcticus,a dog from the Nearctic region
"Cormocyon copei Wang & Tedford, 1992",Cormocyon copei,"Wang & Tedford, 1992",Canidae,copei,a dog named after Cope
"Cormocyon haydeni Wang et al., 1999",Cormocyon haydeni,"Wang et al., 1999",Canidae,haydeni,a dog named after Hayden
"Cubacyon transversidens Arredondo & Varona, 1974",Cubacyon transversidens,"Arredondo & Varona, 1974",Canidae,transversidens,a dog that resembles with crosswise teeth
"Cuon alpinus (Pallas, 1811)",Cuon alpinus,"(Pallas, 1811) ",Canidae,alpinus,a dog that resembles of or from the Alps
"Cuon majori Del Campana, 1900",Cuon majori,"Del Campana, 1900",Canidae,majori,a dog named after Major
"Cuon primaevus Hodgson, 1838",Cuon primaevus,"Hodgson, 1838",Canidae,primaevus,a dog that resembles primitive or ancient
"Cuon stehlini (Moullé, 1992)",Cuon stehlini,"(Moullé, 1992) ",Canidae,stehlini,a dog named after Stehlin
"Cyon antiquus Matthew & Granger, 1923",Cyon antiquus,"Matthew & Granger, 1923",Canidae,antiquus,a dog that resembles ancient or primitive
"Canis lemur (Cope, 1879)",Canis lemur,"(Cope, 1879) ",Canidae,lemur,a ghost-like dog
"Cynarctoides emryi Wang et al., 1999",Cynarctoides emryi,"Wang et al., 1999",Canidae,emryi,a dog named after Emry
"Cynarctoides gawnae Wang et al., 1999",Cynarctoides gawnae,"Wang et al., 1999",Canidae,gawnae,a dog named after Dawn
"Cynarctoides luskensis Wang et al., 1999",Cynarctoides luskensis,"Wang et al., 1999",Canidae,luskensis,a dog from Lusk
"Cynarctoides whistleri Wang & Tedford, 2008",Cynarctoides whistleri,"Wang & Tedford, 2008",Canidae,whistleri,a dog named after Whistler
"Cynarctus acridens (Barbour & Cook, 1914)",Cynarctus acridens,"(Barbour & Cook, 1914) ",Canidae,acridens,a sharp-toothed dog
"Nothocyon roii (Macdonald, 1963)",Nothocyon roii,"(Macdonald, 1963) ",Canidae,roii,a dog named after Carlo Giuseppe Bertero
"Pachycynodon harlowi (Loomis, 1932)",Pachycynodon harlowi,"(Loomis, 1932) ",Canidae,harlowi,a dog named after Harlow
"Cynarctus crucidens Barbour & Cook, 1914",Cynarctus crucidens,"Barbour & Cook, 1914",Canidae,crucidens,a cross-toothed dog
"Cynarctus galushai Wang et al., 1999",Cynarctus galushai,"Wang et al., 1999",Canidae,galushai,a dog named after Galusha
"Cynarctus saxatilis Matthew, 1902",Cynarctus saxatilis,"Matthew, 1902",Canidae,saxatilis,a dog that resembles living among rocks
"Cynarctus voorhiesi Wang et al., 1999",Cynarctus voorhiesi,"Wang et al., 1999",Canidae,voorhiesi,a dog named after Voorhies
"Cynarctus wangi Jasinski & Wallace, 2015",Cynarctus wangi,"Jasinski & Wallace, 2015",Canidae,wangi,a dog named after Wang
"Tomarctus marylandica (Berry, 1938)",Tomarctus marylandica,"(Berry, 1938) ",Canidae,marylandica,a dog from Maryland
"Cynodesmus martini Wang, 1994",Cynodesmus martini,"Wang, 1994",Canidae,martini,a dog named after Martin
"Cynodesmus thooides (Scott, 1893)",Cynodesmus thooides,"(Scott, 1893) ",Canidae,thooides,a dog that resembles resembling the genus Thoa
"Cynotherium sardous Studiati, 1857",Cynotherium sardous,"Studiati, 1857",Canidae,sardous,a dog from Sardinia
"Cynodesmus thomsoni (Matthew, 1907)",Cynodesmus thomsoni,"(Matthew, 1907) ",Canidae,thomsoni,a dog named after Thomson
"Desmocyon matthewi Wang et al., 1999",Desmocyon matthewi,"Wang et al., 1999",Canidae,matthewi,a dog named after Matthew
"Dusicyon australis (Kerr, 1792)",Dusicyon australis,"(Kerr, 1792) ",Canidae,australis,a dog that resembles southern
"Dusicyon avus (Burmeister, 1866)",Dusicyon avus,"(Burmeister, 1866) ",Canidae,avus,a grandfather-like dog
"Dusicyon cultridens Gervais & Ameghino, 1880",Dusicyon cultridens,"Gervais & Ameghino, 1880",Canidae,cultridens,a knife-toothed dog
"Dusicyon sechurae Thomas, 1900",Dusicyon sechurae,"Thomas, 1900",Canidae,sechurae,a dog from the Sechura Desert
"Dusicyon vetulus Lund, 1842",Dusicyon vetulus,"Lund, 1842",Canidae,vetulus,a dog that resembles little old
"Dysodus pravus Cope, 1879",Dysodus pravus,"Cope, 1879",Canidae,pravus,a dog that resembles deformed or misshapen
"Ectopocynus antiquus Wang, 1994",Ectopocynus antiquus,"Wang, 1994",Canidae,antiquus,a dog that resembles ancient or primitive
"Ectopocynus intermedius Wang, 1994",Ectopocynus intermedius,"Wang, 1994",Canidae,intermedius,a dog that resembles of intermediate form
"Ectopocynus simplicidens Wang, 1994",Ectopocynus simplicidens,"Wang, 1994",Canidae,simplicidens,a simple-toothed dog
"Enhydrocyon basilatus (Cope, 1879)",Enhydrocyon basilatus,"(Cope, 1879) ",Canidae,basilatus,a dog that resembles royal or kingly
"Enhydrocyon crassidens Matthew, 1907",Enhydrocyon crassidens,"Matthew, 1907",Canidae,crassidens,a thick-toothed dog
"Enhydrocyon stenocephalus Cope, 1879",Enhydrocyon stenocephalus,"Cope, 1879",Canidae,stenocephalus,a narrow-headed dog
"Sunkahetanka pahinsintewakpa (Macdonald, 1963)",Sunkahetanka pahinsintewakpa,"(Macdonald, 1963) ",Canidae,pahinsintewakpa,a dog from the Little Bighorn River
"Canis haydeni (Leidy, 1858)",Canis haydeni,"(Leidy, 1858) ",Canidae,haydeni,a dog named after Hayden
"Canis saevus (Leidy, 1858)",Canis saevus,"(Leidy, 1858) ",Canidae,saevus,"a dog that resembles fierce, ferocious"
"Epicyon aelurodontoides Wang et al., 1999",Epicyon aelurodontoides,"Wang et al., 1999",Canidae,aelurodontoides,a cat-toothed dog
"Canis davisi (Merriam, 1911)",Canis davisi,"(Merriam, 1911) ",Canidae,davisi,a dog named after Davis
"Eucyon adoxus Martin, 1973",Eucyon adoxus,"Martin, 1973",Canidae,adoxus,"a dog that resembles hidden, obscure"
"Eucyon intrepidus Morales et al., 2005",Eucyon intrepidus,"Morales et al., 2005",Canidae,intrepidus,"a dog that resembles fearless, bold"
"Eucyon khoikhoi Valenciano, Morales & Govender, 2022",Eucyon khoikhoi,"Valenciano, Morales & Govender, 2022",Canidae,khoikhoi,a dog that resembles of the Khoikhoi people
"Eucyon kuta Werdelin, Lewis & Haile-Selassie, 2014",Eucyon kuta,"Werdelin, Lewis & Haile-Selassie, 2014",Canidae,kuta,a curved dog
"Eucyon monticinensis Rook, 1992",Eucyon monticinensis,"Rook, 1992",Canidae,monticinensis,a dog from the mountains
"Eucyon odessanus Odintzov, 1967",Eucyon odessanus,"Odintzov, 1967",Canidae,odessanus,a dog from Odessa
"Eucyon skinneri Tedford et al., 2009",Eucyon skinneri,"Tedford et al., 2009",Canidae,skinneri,a dog named after Skinner
"Eucyon zhoui Tedford & Qiu, 1996",Eucyon zhoui,"Tedford & Qiu, 1996",Canidae,zhoui,a dog named after Zhou
"Aelurocyon spissidens (White, 1947)",Aelurocyon spissidens,"(White, 1947) ",Canidae,spissidens,a thick-toothed dog
"Aelurodon brachygnathus (Douglass, 1903)",Aelurodon brachygnathus,"(Douglass, 1903) ",Canidae,brachygnathus,a short-jawed dog
"Cerdocyon avius (Torres & Ferrusquia, 1981)",Cerdocyon avius,"(Torres & Ferrusquia, 1981) ",Canidae,avius,a dog that resembles off the beaten track
"Canis gregarius (Cope, 1873)",Canis gregarius,"(Cope, 1873) ",Canidae,gregarius,a dog that resembles growing in groups
"Hesperocyon coloradensis Wang, 1994",Hesperocyon coloradensis,"Wang, 1994",Canidae,coloradensis,a dog from Colorado
"Canis vafer (Leidy, 1858)",Canis vafer,"(Leidy, 1858) ",Canidae,vafer,a dog that resembles cunning or crafty
"Leptocyon douglassi Tedford et al., 2009",Leptocyon douglassi,"Tedford et al., 2009",Canidae,douglassi,a dog named after Douglas
"Leptocyon leidyi Tedford et al., 2009",Leptocyon leidyi,"Tedford et al., 2009",Canidae,leidyi,a dog named after Joseph Leidy
"Leptocyon matthewi Tedford et al., 2009",Leptocyon matthewi,"Tedford et al., 2009",Canidae,matthewi,a dog named after Matthew
"Leptocyon mollis Merriam, 1906",Leptocyon mollis,"Merriam, 1906",Canidae,mollis,a soft or soft-haired dog
"Leptocyon tejonensis Tedford et al., 2009",Leptocyon tejonensis,"Tedford et al., 2009",Canidae,tejonensis,a dog from the Tejon region
"Nothocyon gregorii (Matthew, 1907)",Nothocyon gregorii,"(Matthew, 1907) ",Canidae,gregorii,a dog named after Gregor
"Nothocyon vulpinus (Matthew, 1907)",Nothocyon vulpinus,"(Matthew, 1907) ",Canidae,vulpinus,a fox-like dog
"Pachycynodon delicatus (Loomis, 1932)",Pachycynodon delicatus,"(Loomis, 1932) ",Canidae,delicatus,a dog that resembles delicate or dainty
"Lupulella mohibi Geraads, 2011",Lupulella mohibi,"Geraads, 2011",Canidae,mohibi,a dog named after the Mohi-ud-din Islamic University
"Lupulella paralius Geraads, 2011",Lupulella paralius,"Geraads, 2011",Canidae,paralius,a dog that resembles of the sea or shore
"Lycalopex culpaeus (Molina, 1782)",Lycalopex culpaeus,"(Molina, 1782) ",Canidae,culpaeus,a dog that resembles guilty or blameworthy
"Lycalopex fulvipes (Martin, 1837)",Lycalopex fulvipes,"(Martin, 1837) ",Canidae,fulvipes,a tawny-footed dog
"Lycalopex gymnocercus (G.Fischer, 1814)",Lycalopex gymnocercus,"(G.Fischer, 1814) ",Canidae,gymnocercus,a bare-tailed dog
"Lycalopex sechurae (Thomas, 1900)",Lycalopex sechurae,"(Thomas, 1900) ",Canidae,sechurae,a dog from the Sechura Desert
"Lycalopex vetulus (Lund, 1842)",Lycalopex vetulus,"(Lund, 1842) ",Canidae,vetulus,a dog that resembles little old
"Lycaon magnus Ewer & Singer, 1956",Lycaon magnus,"Ewer & Singer, 1956",Canidae,magnus,a dog that resembles large
"Lycaon pictus (Temminck, 1820)",Lycaon pictus,"(Temminck, 1820) ",Canidae,pictus,a painted or decorated dog
"Cynodictis temnodon (Wortman & Matthew, 1899)",Cynodictis temnodon,"(Wortman & Matthew, 1899) ",Canidae,temnodon,a dog that resembles cutting tooth
"Mesocyon brachyops Merriam, 1906",Mesocyon brachyops,"Merriam, 1906",Canidae,brachyops,a short-eyed dog
"Temnocyon coryphaeus (Cope, 1879)",Temnocyon coryphaeus,"(Cope, 1879) ",Canidae,coryphaeus,a dog that resembles leader of the chorus
"Metalopex bakeri Tedford et al., 2009",Metalopex bakeri,"Tedford et al., 2009",Canidae,bakeri,a dog named after Baker
"Metalopex macconnelli Tedford et al., 2009",Metalopex macconnelli,"Tedford et al., 2009",Canidae,macconnelli,a dog named after McConnell
"Metalopex merriami Tedford & Wang, 2008",Metalopex merriami,"Tedford & Wang, 2008",Canidae,merriami,a dog named after Merriam
"Cynodesmus canavus (Simpson, 1932)",Cynodesmus canavus,"(Simpson, 1932) ",Canidae,canavus,a dog that resembles of the dog
"Tephrocyon confertus (Matthew, 1918)",Tephrocyon confertus,"(Matthew, 1918) ",Canidae,confertus,a crowded or densely packed dog
"Neovulpavus mccarrolli Tomiya, Zack, Spaulding & Flynn, 2021",Neovulpavus mccarrolli,"Tomiya, Zack, Spaulding & Flynn, 2021",Canidae,mccarrolli,a dog named after McCarroll
"Neovulpavus washakius Wortman, 1901",Neovulpavus washakius,"Wortman, 1901",Canidae,washakius,a dog named after Washakie
"Nurocyon chonokhariensis Sotnikova, 2006",Nurocyon chonokhariensis,"Sotnikova, 2006",Canidae,chonokhariensis,a dog from Chonok-hari
"Nyctereutes abdeslami Geraads, 1997",Nyctereutes abdeslami,"Geraads, 1997",Canidae,abdeslami,a dog named after Abdeslam
"Nyctereutes donnezani (Deperet, 1890)",Nyctereutes donnezani,"(Deperet, 1890) ",Canidae,donnezani,a dog named after Donnézan
"Nyctereutes lockwoodi Geraads, Alemseged, Bobe & Reed, 2010",Nyctereutes lockwoodi,"Geraads, Alemseged, Bobe & Reed, 2010",Canidae,lockwoodi,a dog named after Lockwood
"Nyctereutes megamastoides Pomel, 1842",Nyctereutes megamastoides,"Pomel, 1842",Canidae,megamastoides,"a dog that resembles with large, breast-like projections"
"Nyctereutes procyonoides (Gray, 1834)",Nyctereutes procyonoides,"(Gray, 1834) ",Canidae,procyonoides,a dog that resembles resembling a raccoon
"Nyctereutes sinensis Schlosser, 1903",Nyctereutes sinensis,"Schlosser, 1903",Canidae,sinensis,a dog from China
"Nyctereutes terblanchei Ficcarelli et al., 1984",Nyctereutes terblanchei,"Ficcarelli et al., 1984",Canidae,terblanchei,a dog named after Terblanche
"Nyctereutes tingi Tedford & Qiu, 1991",Nyctereutes tingi,"Tedford & Qiu, 1991",Canidae,tingi,a dog from Mount Ting
"Brachyrhynchocyon sesnoni (Macdonald, 1967)",Brachyrhynchocyon sesnoni,"(Macdonald, 1967) ",Canidae,sesnoni,a dog named after Shesnoun
"Canis brachypus (Cope, 1881)",Canis brachypus,"(Cope, 1881) ",Canidae,brachypus,a short-footed dog
"Mesocyon iamonensis (Sellards, 1916)",Mesocyon iamonensis,"(Sellards, 1916) ",Canidae,iamonensis,a dog from the Iamon region
"Osbornodon fricki Wang, 1994",Osbornodon fricki,"Wang, 1994",Canidae,fricki,a dog named after Frick
"Osbornodon renjiei Wang, 1994",Osbornodon renjiei,"Wang, 1994",Canidae,renjiei,a dog named after Renjie
"Osbornodon wangi Hayes, 2000",Osbornodon wangi,"Hayes, 2000",Canidae,wangi,a dog named after Wang
"Tephrocyon scitulus (Hay, 1924)",Tephrocyon scitulus,"(Hay, 1924) ",Canidae,scitulus,"a dog that resembles neat, pretty, or elegant"
"Osteoborus orc Webb, 1969",Osteoborus orc,"Webb, 1969",Canidae,orc,a dog that resembles killer whale
"Cynodesmus cooki (Macdonald, 1963)",Cynodesmus cooki,"(Macdonald, 1963) ",Canidae,cooki,a dog named after Cook
"Otarocyon cuspidatus Green, 1954",Otarocyon cuspidatus,"Green, 1954",Canidae,cuspidatus,a dog that resembles pointed tip
"Otarocyon macdonaldi Wang et al., 1999",Otarocyon macdonaldi,"Wang et al., 1999",Canidae,macdonaldi,a dog named after Macdonald
"Otocyon megalotis (Desmarest, 1822)",Otocyon megalotis,"(Desmarest, 1822) ",Canidae,megalotis,a large-eared dog
"Oxetocyon cuspidatus Green, 1954",Oxetocyon cuspidatus,"Green, 1954",Canidae,cuspidatus,a dog that resembles pointed tip
"Paracynarctus sinclairi Wang et al., 1999",Paracynarctus sinclairi,"Wang et al., 1999",Canidae,sinclairi,a dog named after Sinclair
"Tephrocyon kelloggi (Merriam, 1911)",Tephrocyon kelloggi,"(Merriam, 1911) ",Canidae,kelloggi,a dog named after Kellogg
"Mesocyon robustus (Matthew, 1907)",Mesocyon robustus,"(Matthew, 1907) ",Canidae,robustus,a dog that resembles strong or robust
